License/Kind/GeoStudio,Feature GUID,Description,Is Connect,Tag
3348,BF134AA9-31B3-48B0-B5B1-2A4746E94671,License/Kind/GeoStudio,Yes,update
3348,31A7CEDE-4771-4E9A-8676-7698367B5F2C,License/Tier/GeoStudio,Yes,update
3348,3497AF06-3BA6-487F-BBDD-6027B0BA6143,License/Kind/Modeler3d,Yes,update
3348,A91C79CF-D23D-4D94-8050-B35B1D1621BD,License/Kind/Air3d,Yes,update
3348,71905066-ED72-47C5-8C0C-951326210038,License/Kind/Ctran3d,Yes,update
3348,FCB57508-6C85-4DFE-91CB-2768C6BF44F1,License/Kind/Quake3d,Yes,update
3348,47BBDCEA-BEED-4795-9446-BB3018514F37,License/Kind/Seep3d,Yes,update
3348,FCBED63B-F6C1-42C4-8C25-FB2119F71DAD,License/Kind/Sigma3d,Yes,update
3348,A9001272-9311-4579-B7F6-D45169536795,License/Kind/Slope3d,Yes,update
3348,D38DD46D-DB78-4488-9529-04FCD9DB4F0A,License/Kind/Temp3d,Yes,update
3348,6B1C964C-98EB-4C76-921F-3C3DFAC311E9,License/Tier/GeoStudio2D,Yes,update
3348,F07D62D8-4D99-483F-9E25-5B12B7AFC7DD,License/Tier/GeoStudio2DAdvanced,Yes,update
3348,2E1213BC-5A85-448C-A61F-1150A3B11925,License/Tier/GeoStudio2DUltimate,Yes,update
3348,C558916B-089D-4C79-AA6F-FD7230D44E43,License/Tier/GeoStudio2DFlow,Yes,update
3348,F0D2532D-43D5-4881-A9A5-10F218841F60,License/Tier/GeoStudio3D,Yes,update
3348,C88C5334-E19D-4FE3-B926-A6DF5455872E,License/Tier/GeoStudio3DAdvanced,Yes,update
3348,B9D6FEBD-3AAB-410F-8810-610F32C3ED08,License/Tier/GeoStudio3DFlow,Yes,update
3348,C62FD776-9801-4617-B190-418BF0992BEA,License/Tier/GeoStudio3DUltimate,Yes,update
3348,32FC8E09-C1A5-4638-8D15-6A1188DCF5C1,Build3D/Import/FromCentral,Yes,update
3348,FAA8BAFC-45A2-47E3-8B79-EE91334FA16F,Analysis/Slope/LimitEquilibrium,Yes,update
3348,30AA7BA4-547C-4854-8AE5-0BE28F3219A5,Geometry-Kind-Planar1D,Yes,update
3348,48B0650C-C45B-4D8E-9D24-F475703AE68D,Geometry-Kind-Dim2D,Yes,update
3348,D0C6836B-47B7-4A29-873C-2A99942F16FB,Geometry-Kind-Dim3D,Yes,update
3348,69DDD857-B2D0-4618-AE92-04310383D8EC,Geometry-Kind-Axisymmetric2D,Yes,update
3348,6A9F8DC6-B2FE-4DD1-B3A3-786146F1495C,Geometry-Kind-Plan2D,Yes,update
3348,40807914-3BAC-421D-BB9F-0F34136288C3,Analysis-StabilityItems-SlipSurface-CriticalSlipSurfaceOptimize,Yes,update
3348,68C2F141-CF33-45A3-AC84-15CA3B3F8D5C,EVO/SignIn,Yes,update
3348,89A1CFFA-AF65-4692-9BBA-AA95F48C4F56,EVO/SignInFailed,Yes,update
3348,FF470CDC-F552-4CE1-908A-3E33BA9571F5,EVO/ImportGeometry/2D,Yes,update
3348,0FA3AFB0-5529-454C-9989-464C8660BBE8,EVO/ImportGeometry/3D,Yes,update
3348,5AE9D0F6-982D-402F-9830-0AEBA1C91CFB,EVO/PublishGeometry/2D,Yes,update
3348,0EC0998D-1C3A-4910-AB4B-B0F6E1FAAEED,EVO/PublishGeometry/3D,Yes,update
3348,432BA41D-C7CC-4E72-98FB-1AB9B33CCCAB,EVO/SelectOrgAndWorkspace,Yes,update
3348,0B091FCE-A76D-4989-A12D-DA4D88224513,Build3D/Toolbar/Sketch/2D,Yes,update
3348,EB55C84F-1F99-43EB-B67B-6BD8A4C41201,Build3D/Toolbar/Sketch/3D,Yes,update
3348,93862411-D93C-4596-A99F-80E96E3CD310,Build3D/Toolbar/MakeBodies,Yes,update
3348,AA95DFFA-43B8-4C6A-B91A-95B5659CEB40,Build3D/GeometryExplorer/ConvertToBackgroundMesh,Yes,update
3348,9A31773B-35EF-4FDB-8603-CC366BBEF9A7,Build3D/GeometryExplorer/FitSurfaceToPoints,Yes,update
3348,A40CB7AF-E02B-4D76-B6CC-A0F577CB8F5F,Build3D/GeometryExplorer/FitSurfaceToBackgroundMesh,Yes,update
3348,22505025-8F61-4E69-9C74-D8F2DAD3FE83,Build3D/Toolbar/Sweep,Yes,update
3348,F9875747-BFBE-4121-BEF1-1D4D10F05D6E,Build3D/Toolbar/Extrude,Yes,update
3348,AA87CD8B-9CF9-4EBB-8646-8D2830A9DCE9,Build3D/Toolbar/Cut,Yes,update
3348,33CD141C-4994-417E-867B-216214E2A735,Build3D/Toolbar/Imprint,Yes,update
3348,2DC28240-5ED7-47FA-928E-EC4F53F849DC,Build3D/Toolbar/Merge,Yes,update
3348,975944DE-BAAC-4249-9D7C-C1DF48C36CBB,Build3D/Toolbar/DeleteBody,Yes,update
3348,8076568C-B6B9-4614-A1AA-0E823C19180B,Build3D/GeometryExplorer/SectionArbitraryPlane,Yes,update
3348,73A2A3DE-5947-49B1-B976-029F44B86017,Build3D/GeometryExplorer/SectionVerticalPlane,Yes,update
3348,F51D6C76-CA65-4061-9E5B-A03425538D85,Build3D/Toolbar/Import/Analysis,Yes,update
3348,1B51F194-4A1B-421A-A5B3-D880483225EA,Build3D/Toolbar/Export/ScreenShot,Yes,update
3348,E15798FB-F80D-4BC5-8DE9-B7E624CED31E,Build3D/Toolbar/Export/Geometry,Yes,update
3348,830C1078-1169-44FD-9D84-0AD6D0FF029B,2DAnalysis-StabilityItems-WeakSurface,Yes,update
3348,9902F0B5-49DC-4BF7-A195-AD3B83A405C6,2DAnalysis-StabilityItems-AnisotropicSurface ,Yes,update
3348,6892C8E5-2BCF-49AE-B886-0DF616F35381,File/Open,Yes,update
3348,1A9AAFA0-78D7-4050-88EC-828932DE913F,File/New,Yes,update
3348,1607F67B-70D7-479B-BF96-E042DD3A1550,File/Close,Yes,update
3348,7726EDC8-E322-4079-A118-E4A986C58A8C,File/Save,Yes,update
3348,31275967-B5D4-40FC-BA69-3122C30203E6,File/SaveAs,Yes,update
3348,EC5BF147-C5A5-4C71-B595-C193C62C0BEB,File/SaveAs/Template,Yes,update
3348,538DFBA7-644D-4154-AF8A-35E29E1636C7,File/Import,Yes,update
3348,A313155D-B0E0-481D-B9FC-BEFC50E40459,File/Export,Yes,update
3348,5D401F23-7E3C-4D62-A4CA-BFA2F122E6AC,File/ExportAsPreviousVersion,Yes,update
3348,B05AEC4E-B85B-478D-9F1B-8CCEA9C4E9C4,File/DeleteAllResults,Yes,update
3348,389194BB-A7F4-44FC-ABF4-9FBE299188C8,File/Print,Yes,update
3348,7B9FBC88-4D49-479C-9196-399BE87D20AF,_dev_Command_Click,Yes,update
3348,4AC0447F-381B-4A16-B547-12EA5CD139FD,2DAnalysis/View/Report,Yes,update
3348,D3754248-7309-45EC-927A-6E485183925B,3DAnalysis/View/Report,Yes,update
3348,3F3DD250-CBE4-47CD-A9D0-3630DF8F3100,2DAnalysis/ViewPrefs/MaterialBoundaries,Yes,update
3348,8C6714AC-995B-4FDE-B715-96618C36C235,2DAnalysis/PageLayout/Print,Yes,update
3348,4B368A34-A068-495B-9B08-3DF05E3C2CF1,3DAnalysis/PageLayout/Print,Yes,update
3348,17EC98D6-4B77-4F43-A2A1-C5795ACF0372,GeoStudio/BentleyViewerShortcut,Yes,update
3348,167FE883-0DB7-4F68-8A25-C9ADFA09C31C,2DAnalysis/ContextMenu/Assign/Material/Line,Yes,update
3348,62174CBC-E809-4EFD-B34A-887A2B6F4D60,2DAnalysis/ContextMenu/Assign/Material/Region,Yes,update
3348,839B8EDB-0008-479E-AD5C-ACF63DAFBBCD,2DAnalysis/ContextMenu/Remove/Material/Line,Yes,update
3348,E716F8F0-28F8-4D3F-A5AA-A3750575CDFF,2DAnalysis/ContextMenu/Remove/Material/Region,Yes,update
3348,2A503A21-181D-4144-9E2D-9ED1FEA58E00,2DAnalysis/ContextMenu/ViewObjectInfo,Yes,update
3348,9BDB7B32-D07F-4420-B6B8-CE23D9FFBFA8,2DAnalysis/ContextMenu/HoverOff,Yes,update
3348,E30D5BA0-E975-4A56-A3B5-3FA491D5763A,_dev_GeoCmd,Yes,update
3348,FB13556F-D6BE-409B-AC0A-71D435D1A15D,2DAnalysis/Sketch/Text,Yes,update
3348,C0D87FAA-2D55-447F-9034-A45EDB1D674D,2DAnalysis/Sketch/Lines,Yes,update
3348,73408091-0814-4FBC-95B6-C5789E80F80C,2DAnalysis/Sketch/Circles,Yes,update
3348,3241C196-8C87-4E35-85EA-C0A0B1ABDFDC,2DAnalysis/Sketch/Arcs,Yes,update
3348,5DC45F88-9640-4A0A-B944-7252172B6A26,2DAnalysis/Sketch/AlignedDimension,Yes,update
3348,6C7CC9E5-3808-45E8-9326-D98705E77513,2DAnalysis/Sketch/LinearDimension,Yes,update
3348,D0B5C7BA-A8AA-4B0A-91BC-3350D3903F9C,2DAnalysis/Sketch/AngularDimension,Yes,update
3348,A7FC19A5-E9CF-4132-9F6E-D19FAD92E0DC,2DAnalysis/Sketch/Table/Materials,Yes,update
3348,AF448B0B-D142-4BF0-9FD0-DC6D34F37D0E,2DAnalysis/Sketch/Table/BCs,Yes,update
3348,91D9AEF9-81B4-4594-95FF-2C4DAE9E4192,2DAnalysis/Sketch/Table/Reinforcements,Yes,update
3348,6599EFCA-BC9F-42D3-A973-99AB971404EB,2DAnalysis/Sketch/Table/ReinforcementLines,Yes,update
3348,6BCB741E-6F2C-4F52-AD1A-C3829F00A4B3,2DAnalysis-Reinforcement-Unknown,Yes,update
3348,94E7FCA1-4066-44C5-B81C-15719130FAE8,2DAnalysis-Reinforcement-Anchor,Yes,update
3348,DC1F2B80-3494-4730-A820-763024946540,2DAnalysis-Reinforcement-Geosynthetic,Yes,update
3348,E38A3040-5F84-49D4-9F9C-28DC6CC2C7A1,2DAnalysis-Reinforcement-Nail,Yes,update
3348,22625E2F-3178-43BE-BC23-71621F77E507,2DAnalysis-Reinforcement-Pile,Yes,update
3348,C2D4408B-A694-4F9B-AB03-963150547422,2DAnalysis-Reinforcement-UserDefined,Yes,update
3348,A3180C80-BBE2-4F08-824A-C7105F2013F9,2DAnalysis-Reinforcement-ManufacturerAddIns,Yes,update
3348,F346D229-7C75-4DEF-AE19-7A6A26B1D88C,2DAnalysis-SlopeMaterialModel-None,Yes,update
3348,98B5AC5C-1FB3-48BC-8834-BAAD67CD12C5,2DAnalysis-SlopeMaterialModel-MohrCoulomb,Yes,update
3348,871E7973-7D1D-4786-832B-F8F798105CE6,2DAnalysis-SlopeMaterialModel-UndrainedPhiZero,Yes,update
3348,05DD3096-67AB-49F9-A92E-E1F566613489,2DAnalysis-SlopeMaterialModel-HighStrength,Yes,update
3348,510A2F3C-1CAE-48CD-AFCB-4826191837A3,2DAnalysis-SlopeMaterialModel-Bedrock,Yes,update
3348,169A78EC-D85A-45D1-991A-E5C7F54E1F80,2DAnalysis-SlopeMaterialModel-Bilinear,Yes,update
3348,5E02870C-5EDA-45E6-B529-20E5A9AFAD13,2DAnalysis-SlopeMaterialModel-SFnDepth,Yes,update
3348,ED2220E2-1CB2-4E9D-BD92-9E4ACBE09A20,2DAnalysis-SlopeMaterialModel-SFnDatum,Yes,update
3348,D83797C9-0180-4465-AD10-FBB60F9E38EB,2DAnalysis-SlopeMaterialModel-AnisotropicStrength,Yes,update
3348,C421CE6C-B508-4936-801E-05890FBBE872,2DAnalysis-SlopeMaterialModel-ShearNormalFn,Yes,update
3348,42CABFC2-B629-470E-B1C1-B82330FC099D,2DAnalysis-SlopeMaterialModel-HoekBrown,Yes,update
3348,6C49A003-66C6-497A-B689-019032E3240D,2DAnalysis-SlopeMaterialModel-AnisotropicFn,Yes,update
3348,BB510695-DD57-47EC-AF81-394C3389F492,2DAnalysis-SlopeMaterialModel-CombinedSFnDepth,Yes,update
3348,65B9BAFF-2758-48C9-ACC6-24AEC348F3B6,2DAnalysis-SlopeMaterialModel-CombinedSFnDatum,Yes,update
3348,21B4046E-B165-402E-890B-8A0C53739882,2DAnalysis-SlopeMaterialModel-Shansep,Yes,update
3348,0C3AB0DE-E51C-4031-8CA3-EA79009930CA,2DAnalysis-SlopeMaterialModel-MohrCoulombSpatial,Yes,update
3348,0CAC05F7-AFB5-4694-BDFD-67891CC751A6,2DAnalysis-SlopeMaterialModel-CompoundStrength,Yes,update
3348,33E428C2-0224-4D75-ABE2-410250F52B05,2DAnalysis-SlipSurfaceOption-None,Yes,update
3348,63C86CEF-545B-49F5-80D0-7BE98437184B,2DAnalysis-SlipSurfaceOption-GridAndRadius,Yes,update
3348,D8E1CAC7-F784-4A70-9E62-89C105A96B78,2DAnalysis-SlipSurfaceOption-FullySpecified,Yes,update
3348,B6177093-A7E4-436F-9384-A9F2C9BC53F6,2DAnalysis-SlipSurfaceOption-FullySpecifiedGridColumns,Yes,update
3348,B9DD8CEB-5DEA-4205-B96D-E1E36F87211A,2DAnalysis-SlipSurfaceOption-BlockSpecified,Yes,update
3348,2B4BE6A3-D615-48F5-9497-E0259889F27A,2DAnalysis-SlipSurfaceOption-EntryAndExit,Yes,update
3348,8C614E1B-91D1-4A7C-9A85-0AC3C9292E74,2DAnalysis-SlipSurfaceOption-FromOtherAnalysis,Yes,update
3348,3AF3A806-A21A-4FAA-BCF6-61289A25DD0B,2DAnalysis-SlipSurfaceOption-AutomaticSearch,Yes,update
3348,914C8015-5A4B-4099-9DE5-4731E1F2A304,2DAnalysis-SlipSurfaceOption-NonCircularAutomaticSearch,Yes,update
3348,587B690B-1CE4-4E51-A341-DD6ECB76BA5B,2DAnalysis-SlipSurfaceDirection-LeftToRight,Yes,update
3348,F1A8E901-2257-4B05-BDCF-224B4AADDA5E,2DAnalysis-SlipSurfaceDirection-RightToLeft,Yes,update
3348,F1C5F332-2B4F-4E20-95AD-D96A4F3E6FB0,2DAnalysis-Method-None,Yes,update
3348,DB067263-D57B-4915-A454-86D952BFA04E,2DAnalysis-Method-Slope-Ordinary,Yes,update
3348,64AE5BE9-4A09-4AC2-9AEF-53291C417EA0,2DAnalysis-Method-Slope-Spencer,Yes,update
